"Subject","Block","Trial","L_choice","R_choice","L_reward","R_reward","Sub_Choose","Frame","NetWorth","RT"
"1","3","52","A","B",36,40,"A","Gain",492,1481
"1","3","53","D","C",-40,-36,"D","Loss",452,1803
"1","3","54","C","B",-36,40,"B","Catch",492,1017
"1","3","55","A","D",36,-40,"A","Catch",528,1693
"1","3","56","D","C",0,-36,"D","Loss",528,3134
"1","3","57","B","A",40,36,"B","Gain",568,1590
"1","3","58","B","A",40,36,"B","Gain",608,1252
"1","3","59","B","A",40,36,"B","Gain",648,1264
"1","3","60","B","A",40,36,"B","Gain",688,1300
"1","4","1","B","A",40,36,"B","Gain",728,2993
"1","4","2","D","C",-40,-36,"C","Loss",692,3503
"1","4","3","A","B",36,40,"A","Gain",728,1751
"1","4","4","D","C",-40,-36,"D","Loss",688,1864
"1","4","5","A","B",36,40,"A","Gain",724,1227
"1","4","6","D","A",-40,36,"A","Catch",760,1503
"1","4","7","D","C",-40,-36,"D","Loss",720,2399
"1","4","8","A","B",36,40,"A","Gain",756,3669
"1","4","9","D","C",-40,-36,"D","Loss",716,1720
"1","4","10","A","B",36,40,"A","Gain",752,1057
"1","4","11","A","B",36,40,"A","Gain",788,1324
"1","4","12","D","C",-40,-36,"C","Loss",752,1597
"1","4","13","C","D",-36,-40,"C","Loss",716,2011
"1","4","14","A","D",36,-40,"A","Catch",752,1024
"1","4","15","D","C",-40,-36,"D","Loss",712,4237
"1","4","16","D","B",-40,40,"B","Catch",752,1305
"1","4","17","C","A",-36,36,"A","Catch",788,1234
"1","4","18","A","B",36,40,"A","Gain",824,1767
"1","4","19","C","D",-36,-40,"C","Loss",788,1509
"1","4","20","A","B",36,40,"A","Gain",824,1133
"1","4","21","D","C",-40,-36,"D","Loss",784,2351
"1","4","22","B","A",40,36,"B","Gain",824,1797
"1","4","23","C","A",-36,36,"A","Catch",860,1348
"1","4","24","C","D",-36,-40,"C","Loss",824,2274
"1","4","25","B","A",40,36,"B","Gain",864,1173
"1","4","26","C","B",-36,40,"B","Catch",904,1404
"1","4","27","A","B",36,40,"A","Gain",940,2010
"1","4","28","A","B",36,0,"A","Gain",976,926
"1","4","29","D","C",-40,-36,"D","Loss",936,2119
"1","4","30","A","B",36,40,"B","Gain",976,1384
"1","4","31","B","A",40,36,"B","Gain",1016,2542
"1","4","32","B","D",40,-40,"B","Catch",1056,2909
"1","4","33","C","D",-36,-40,"C","Loss",1020,1821
"1","4","34","D","B",-40,40,"B","Catch",1060,1171
"1","4","35","D","C",-40,-36,"D","Loss",1020,1833
"1","4","36","B","A",40,36,"B","Gain",1060,1645
"1","4","37","B","A",0,36,"B","Gain",1060,2225
"1","4","38","C","D",-36,-40,"C","Loss",1024,3205
"1","4","39","C","D",-36,-40,"C","Loss",988,1475
"1","4","40","A","C",36,-36,"A","Catch",1024,1165
"1","4","41","B","A",40,36,"B","Gain",1064,1340
"1","4","42","B","A",40,36,"B","Gain",1104,804
"1","4","43","B","C",40,-36,"B","Catch",1144,834
"1","4","44","C","D",-36,0,"C","Loss",1108,1350
"1","4","45","B","A",40,36,"B","Gain",1148,805
"1","4","46","A","B",36,40,"A","Gain",1184,1219
"1","4","47","C","D",-36,-40,"C","Loss",1148,2280
"1","4","48","B","A",40,36,"B","Gain",1188,4714
"1","4","49","C","D",-36,-40,"C","Loss",1152,1466
"1","4","50","D","A",-40,36,"A","Catch",1188,2525
"1","4","51","C","D",-36,-40,"C","Loss",1152,4213
"1","4","52","D","C",-40,-36,"C","Loss",1116,1650
"1","4","53","C","D",-36,0,"C","Loss",1080,2398
"1","4","54","C","B",-36,40,"B","Catch",1120,987
"1","4","55","C","D",-36,-40,"C","Loss",1084,1514
"1","4","56","A","B",36,40,"B","Gain",1124,1362
"1","4","57","D","C",0,-36,"C","Loss",1088,1745
"1","4","58","B","A",0,36,"B","Gain",1088,1105
"1","4","59","B","A",40,36,"B","Gain",1128,954
"1","4","60","D","C",-40,-36,"C","Loss",1092,1602
"1","5","1","D","C",-40,-36,"C","Loss",1056,2279
"1","5","2","A","B",36,0,"B","Gain",1056,1841
"1","5","3","A","B",36,40,"A","Gain",1092,1084
"1","5","4","B","A",40,36,"B","Gain",1132,1159
"1","5","5","B","A",40,36,"B","Gain",1172,814
"1","5","6","D","C",-40,-36,"C","Loss",1136,1298
"1","5","7","A","D",36,-40,"A","Catch",1172,900
"1","5","8","C","D",-36,0,"C","Loss",1136,1405
"1","5","9","C","D",-36,-40,"C","Loss",1100,1107
"1","5","10","A","B",36,40,"A","Gain",1136,1132
"1","5","11","D","C",-40,-36,"C","Loss",1100,2029
"1","5","12","D","C",-40,-36,"D","Loss",1060,785
